player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,pens_sav,cards_yellow,cards_red,goals_per90,assists_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,Clean_s,saves,general_position,goal_conceded,goals_conceded_per90,save_percentage
Aymen Dahmen,GK,Tunisia,28,CS Sfaxien,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,Goalkeeper,1,0.333333333,90
Alireza Beiranvand,GK,IR Iran,33,Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Goalkeeper,7,5.779816514,41.66666667
Alisson,GK,Brazil,33,Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0,0,0,ir,0,0,0,0,2,5,Goalkeeper,2,0.474934037,71.42857143
Andries Noppert,GK,Netherlands,31,Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,Goalkeeper,4,0.75,81.81818182
Andre Onana,GK,Cameroon,29,Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Goalkeeper,1,1.125,66.66666667
Danny Ward,GK,Wales,32,Leicester City,1993,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Goalkeeper,3,2.872340426,57.14285714
Devis Epassy,GK,Cameroon,32,Abha,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,Goalkeeper,3,1.5,75
Diogo Costa,GK,Portugal,26,Porto,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,1,12,Goalkeeper,6,1.2,66.66666667
Dominik Livakovic,GK,Croatia,30,Dinamo Zagreb,1995,7,7,690,7.7,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,25,Goalkeeper,8,1.043478261,75.75757576
Ederson,GK,Brazil,32,Manchester City,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Goalkeeper,1,1,66.66666667
Edouard Mendy,GK,Senegal,33,Chelsea,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,7,Goalkeeper,5,1.25,58.33333333
