player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,general_position,big_chance,chance_created_per90,pass_per90,tackles_per90,successful_dribbles
Aaron Mooy,MF,Australia,35,Celtic,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Midfielder,0,0,0,0,0
Aaron Ramsey,MF,Wales,35,Nice,1990,3,3,266,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Midfielder,0,0,0,0,0
Abdelhamid Sabiri,MF,Morocco,29,Sampdoria,1996,5,2,181,2,0,1,0,0,0,1,0,0,0.5,0.5,0,0.5,0.1,0.1,0.9,1,0.08,0.53,0.6,0.08,0.6,Midfielder,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,35,Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Midfielder,0,0,0,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,31,Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Midfielder,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,30,Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0.06,0.24,0.18,0.24,Midfielder,0,0,0,0,0
Adrien Rabiot,MF,France,30,Juventus,1995,6,5,483,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,1.1,1.1,0.9,1.9,0.2,0.16,0.36,0.2,0.36,Midfielder,1,0,0,0,0
Agustín Canobbio,MF,Uruguay,27,Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Ahmad Nourollahi,MF,IR Iran,32,Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Midfielder,0,0,0,0,0
Ajdin Hrustic,MF,Australia,29,Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Midfielder,0,0,0,0,0
Alan Franco,MF,Ecuador,27,Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Alexis Mac Allister,MF,Argentina,27,Brighton,1998,6,6,550,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.7,0.7,1,1.7,0.12,0.18,0.3,0.12,0.3,Midfielder,2,1.3,89,44.4,66.7
Ali Al Hassan,MF,Saudi Arabia,28,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0,0.15,0.15,0.15,Midfielder,0,0,0,0,0
Ali Assadalla,MF,Qatar,32,Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,29,Charleroi,1996,3,2,199,2.2,0,1,0,0,0,0,0,0,0.45,0.45,0,0.45,0,0,0.2,0.2,0.01,0.07,0.09,0.01,0.09,Midfielder,0,0,0,0,0
Ali Karimi,MF,IR Iran,31,Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,32,Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.29,0,0.29,0.29,0.29,Midfielder,0,0,0,0,0
Alphonso Davies,MF,Canada,25,Bayern Munich,2000,3,3,270,3,1,0,1,0,1,1,0,0.33,0,0.33,0.33,0.33,1.1,0.3,0.5,0.8,0.36,0.17,0.53,0.09,0.27,Midfielder,0,0,0,0,0
Amadou Onana,MF,Belgium,24,Everton,2001,2,1,104,1.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4,Midfielder,0,0,0,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,30,Napoli,1995,3,3,260,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Midfielder,0,0,0,0,0
Andre Ayew,MF,Ghana,36,Al Sadd SC,1989,3,3,198,2.2,1,0,1,0,1,1,0,0.45,0,0.45,0.45,0.45,1.1,0.4,0,0.4,0.52,0,0.52,0.16,0.16,Midfielder,0,0,0,0,0
Andre Guardado,MF,Mexico,39,Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Anis Ben Slimane,MF,Tunisia,24,BrÃ¸ndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.06,0.12,0.07,0.12,Midfielder,0,0,0,0,0
Antoine Griezmann,MF,France,34,Athletico Madrid,1991,7,6,537,6,0,3,0,0,0,1,0,0,0.5,0.5,0,0.5,0.7,0.7,3.1,3.7,0.11,0.52,0.63,0.11,0.63,Midfielder,7,4,83.9,57.1,82.7
Ao Tanaka,MF,Japan,27,DÃ¼sseldorf,1998,3,2,171,1.9,1,0,1,0,0,0,0,0.53,0,0.53,0.53,0.53,1,1,0.1,1,0.55,0.05,0.6,0.55,0.6,Midfielder,0,0,0,0,0
Assim Madibo,MF,Qatar,29,Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Midfielder,0,0,0,0,0
Atiba Hutchinson,MF,Canada,42,BeÅiktaÅ,1983,3,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07,Midfielder,0,0,0,0,0
Aurelien Tchouameni,MF,France,25,Real Madrid,2000,7,7,621,6.9,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,0.3,0.3,1,1.4,0.05,0.16,0.21,0.05,0.21,Midfielder,2,0,0,0,0
Awer Mabil,MF,Australia,30,CÃ¡diz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Axel Witsel,MF,Belgium,36,Athletico Madrid,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02,Midfielder,0,0,0,0,0
Azzedine Ounahi,MF,Morocco,25,Angers,2000,7,6,568,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13,Midfielder,0,0,0,0,0
Aïssa Laïdouni,MF,Tunisia,29,FerencvÃ¡ros,1996,3,3,243,2.7,0,1,0,0,0,1,0,0,0.37,0.37,0,0.37,0.1,0.1,0.4,0.6,0.05,0.16,0.21,0.05,0.21,Midfielder,0,0,0,0,0
Bernardo Silva,MF,Portugal,31,Manchester City,1994,5,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14,Midfielder,0,0,0,0,0
Bilal El Khannous,MF,Morocco,21,Genk,2004,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Brandon Aguilera,MF,Costa Rica,22,AsociaciÃ³n Deportiva Guanacasteca,2003,3,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Brenden Aaronson,MF,United States,25,Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.06,0.18,0.24,0.06,0.24,Midfielder,0,0,0,0,0
Bruno Fernandes,MF,Portugal,31,Manchester United,1994,4,4,360,4,2,3,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2,0.28,0.42,0.71,0.08,0.51,Midfielder,5,2.3,87.6,75,75
Bruno GuimarÃ£es,MF,Brazil,28,Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0,0.7,0.92,0,0.92,0.92,0.92,Midfielder,0,0,0,0,0
Bryan Ruiz,MF,Costa Rica,40,Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Carlos Gruezo,MF,Ecuador,30,Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Carlos Soler,MF,Spain,28,Paris S-G,1997,2,0,92,1,1,0,1,0,0,0,0,0.98,0,0.98,0.98,0.98,0.5,0.5,0.2,0.7,0.78,0.26,1.04,0.78,1.04,Midfielder,0,0,0,0,0
Casemiro,MF,Brazil,33,Manchester Utd,1992,4,4,390,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,0.4,0.4,0.1,0.6,0.1,0.04,0.14,0.1,0.14,Midfielder,0,0,0,0,0
Celso Borges,MF,Costa Rica,37,Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Midfielder,0,0,0,0,0
Charly RodrÃ­guez,MF,Mexico,28,Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Cheikhou KouyatÃ©,MF,Senegal,36,Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Midfielder,0,0,0,0,0
Christian Bassogog,MF,Cameroon,30,Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Christian Eriksen,MF,Denmark,33,Manchester Utd,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2,Midfielder,1,3,0,0,0
